,chembl_compound,uniprot_id,drugbankId
3603,CHEMBL.COMPOUND:CHEMBL563646,UniProtKB:P43116,DB12022
3604,CHEMBL.COMPOUND:CHEMBL284838,UniProtKB:Q13370,DB12685
3605,CHEMBL.COMPOUND:CHEMBL284838,UniProtKB:Q14432,DB12685
3606,CHEMBL.COMPOUND:CHEMBL3828074,UniProtKB:Q13822,DB15403
3607,CHEMBL.COMPOUND:CHEMBL488,UniProtKB:P05108,DB00357
3608,CHEMBL.COMPOUND:CHEMBL488,UniProtKB:P11511,DB00357
3609,CHEMBL.COMPOUND:CHEMBL451887,UniProtKB:P28074,DB08889
3610,CHEMBL.COMPOUND:CHEMBL1200809,UniProtKB:P35367,
3611,CHEMBL.COMPOUND:CHEMBL802,UniProtKB:O60706,DB00350
3612,CHEMBL.COMPOUND:CHEMBL2107773,UniProtKB:P13945,DB12080
3613,CHEMBL.COMPOUND:CHEMBL490,UniProtKB:P31645,DB00715
3614,CHEMBL.COMPOUND:CHEMBL1089318,UniProtKB:P21964,DB11632
3615,CHEMBL.COMPOUND:CHEMBL3707393,UniProtKB:P15538,
3616,CHEMBL.COMPOUND:CHEMBL1201229,UniProtKB:P22303,DB00944
3617,CHEMBL.COMPOUND:CHEMBL1237082,UniProtKB:P32297,
3618,CHEMBL.COMPOUND:CHEMBL1237082,UniProtKB:P30926,
3619,CHEMBL.COMPOUND:CHEMBL1200479,UniProtKB:P20309,
3620,CHEMBL.COMPOUND:CHEMBL1200479,UniProtKB:P11229,
3621,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P56282,DB00441
3622,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:Q14181,DB00441
3623,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P28340,DB00441
3624,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P09884,DB00441
3625,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P49642,DB00441
3626,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P49005,DB00441
3627,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:Q15054,DB00441
