run,fold,method,precision,recall,accuracy,roc_auc,f1,average_precision
1,0,Random Forest,0.8709935897435898,0.8099850968703428,0.844776119402985,0.9057067959607841,0.8393822393822394,0.9164984830092169
1,1,Random Forest,0.8782679738562091,0.7992565055762082,0.8437150317045878,0.9150693965229392,0.8369015181004282,0.9224419483480855
1,2,Random Forest,0.8701725554642563,0.7914798206278026,0.8364520958083832,0.9141656750100285,0.8289628180039139,0.9224580882689102
1,3,Random Forest,0.8594377510040161,0.793180133432172,0.830849478390462,0.9059100512794884,0.8249807247494217,0.9175463280582128
1,4,Random Forest,0.8588807785888077,0.7902985074626866,0.8300336197235711,0.9110522555509663,0.8231636222308589,0.921144885352058
1,5,Random Forest,0.8661740558292282,0.7838038632986627,0.8313521545319466,0.9095796471411635,0.8229329173166927,0.920658575020419
1,6,Random Forest,0.8486312399355878,0.7871545929798357,0.8233756534727409,0.8949744578818586,0.8167376985664471,0.9061909201969545
1,7,Random Forest,0.8536,0.7933085501858737,0.8286245353159851,0.8983333563659983,0.8223506743737957,0.912804293535126
1,8,Random Forest,0.8595178719866999,0.7762762762762763,0.8251591164357919,0.8988019946757811,0.8157790927021696,0.908847933236933
1,9,Random Forest,0.8638195004029009,0.8,0.8367575644378035,0.9132235233704329,0.8306857807051531,0.9220238607548839
2,0,Random Forest,0.8662838392124692,0.7833827893175074,0.8305400372439479,0.9101816258996956,0.8227502921698481,0.9208933543242661
2,1,Random Forest,0.8494023904382471,0.7931547619047619,0.8262648809523809,0.9030064174107144,0.8203155059638323,0.9121493546961429
2,2,Random Forest,0.8604269293924466,0.7820895522388059,0.8278046962355572,0.9080830953201231,0.8193901485535575,0.9162174682832565
2,3,Random Forest,0.8586345381526105,0.7995512341062079,0.8338945005611672,0.9008157954845731,0.8280402788536019,0.9107650951318207
2,4,Random Forest,0.866293034427542,0.8080657206870799,0.8419679463287365,0.9135701727479639,0.8361669242658424,0.9215031875545866
2,5,Random Forest,0.8607491856677525,0.7882177479492916,0.830160507652109,0.9064735952131745,0.8228882833787466,0.9187146657549286
2,6,Random Forest,0.8751033912324235,0.7872023809523809,0.8365132809577254,0.908383888261851,0.8288288288288288,0.91981225269823
2,7,Random Forest,0.8597904915390814,0.7950819672131147,0.8323375653472741,0.9057879025852913,0.8261711188540457,0.9166100168433473
2,8,Random Forest,0.8580697485806975,0.7889634601043997,0.8289129622711991,0.9052842301973235,0.822066822066822,0.9177698026763998
2,9,Random Forest,0.8576158940397351,0.7731343283582089,0.8223217618514371,0.9018890796205679,0.8131868131868132,0.9109574141401326
