run,fold,method,precision,recall,accuracy,roc_auc,f1,average_precision
1,0,XGBoost,0.9212050984936269,0.6658291457286433,0.7582815734989649,0.9033128605992928,0.7729703451628586,0.9311239114526145
1,1,XGBoost,0.8660603555188094,0.760711692084241,0.8251511917467094,0.9044486072749263,0.8099748695147884,0.910308037656793
1,2,XGBoost,0.8507751937984496,0.7138211382113822,0.7811418685121108,0.860496220489007,0.7763041556145004,0.8762493765528345
1,3,XGBoost,0.8555798687089715,0.7577519379844961,0.81237721021611,0.878821921615862,0.8036998972250771,0.896602818744591
1,4,XGBoost,0.7878787878787878,0.8125,0.8505747126436781,0.928409090909091,0.8,0.9093177950635589
1,5,XGBoost,0.806060606060606,0.8159509202453987,0.8658008658008658,0.9245132035209388,0.8109756097560976,0.8978405296657459
1,6,XGBoost,0.7924407431133889,0.4948,0.6930961129375363,0.7695509546986148,0.6092095542969712,0.7627988416196474
1,7,XGBoost,0.8695652173913043,0.5529953917050692,0.7103274559193955,0.6302355350742447,0.676056338028169,0.7698041012752046
1,8,XGBoost,0.9,0.8365384615384616,0.8757763975155279,0.921812248995984,0.867109634551495,0.9318092777812792
1,9,XGBoost,0.8746736292428199,0.7067510548523207,0.8244131455399061,0.8960747356622187,0.7817969661610268,0.8824230545710333
2,0,XGBoost,0.8822222222222222,0.7693798449612403,0.8283433133732535,0.8816992056656139,0.8219461697722568,0.9105676059101866
2,1,XGBoost,0.8222222222222222,0.723463687150838,0.7952443857331571,0.8859439100544657,0.7696879643387816,0.8754296632751639
2,2,XGBoost,0.8511904761904762,0.8033707865168539,0.8529411764705882,0.9021739130434783,0.8265895953757225,0.9056297717924306
2,3,XGBoost,0.8636363636363636,0.7037037037037037,0.8472222222222222,0.8890946502057613,0.7755102040816326,0.8739800301585026
2,4,XGBoost,0.8357933579335793,0.7001545595054096,0.7682227682227682,0.8505458050826921,0.7619848612279226,0.8719456392477813
2,5,XGBoost,1.0,0.2,0.7894736842105263,0.9,0.3333333333333333,0.7944444444444445
2,6,XGBoost,0.8978494623655914,0.8743455497382199,0.8943488943488943,0.961290478960636,0.8859416445623343,0.959632653704445
2,7,XGBoost,0.864820173625465,0.7596223674655047,0.8261251758087201,0.8989648322152965,0.8088150009665571,0.9053950123597527
2,8,XGBoost,0.8494117647058823,0.5514256619144603,0.7155355249204666,0.8004243698520268,0.6687249150972523,0.8274313287831971
2,9,XGBoost,0.8397435897435898,0.8972602739726028,0.8901098901098901,0.9550081689078798,0.8675496688741722,0.9299072966541833
