run,fold,method,precision,recall,accuracy,roc_auc,f1,average_precision
1,0,XGBoost,0.865,0.7538126361655774,0.8217081850533808,0.9005551019870357,0.8055878928987195,0.9078058040522896
1,1,XGBoost,0.809620596205962,0.478,0.690958690568979,0.7764505319148935,0.6011066398390342,0.7689013652035357
1,2,XGBoost,0.5384615384615384,0.4117647058823529,0.5789473684210527,0.5518207282913166,0.4666666666666667,0.5490641916590683
1,3,XGBoost,0.7939508506616257,0.6774193548387096,0.7473426001635323,0.8447466966244048,0.7310704960835509,0.857266418101768
1,4,XGBoost,0.8841870824053452,0.7693798449612403,0.8253319713993871,0.8879526847154553,0.8227979274611399,0.9144716924710596
1,5,XGBoost,0.9242424242424242,0.9457364341085271,0.9368029739776952,0.9849944629014397,0.9348659003831418,0.9848427189177184
1,6,XGBoost,0.8364779874213837,0.8209876543209876,0.8666666666666667,0.9300904364111283,0.8286604361370716,0.9016831311822582
1,7,XGBoost,0.8477508650519031,0.6843575418994413,0.7950391644908616,0.8815313835031219,0.7573415765069552,0.8672657386915881
1,8,XGBoost,0.8991008991008991,0.703125,0.7739661654135338,0.8862138856132074,0.789127575624726,0.9153385999156584
1,9,XGBoost,0.8877005347593583,0.5949820788530465,0.7665505226480837,0.7254237288135592,0.7124463519313304,0.8069447130605527
2,0,XGBoost,0.8060567010309279,0.5180124223602485,0.7037411526794742,0.7845740145173037,0.6307033022435089,0.7877512447458316
2,1,XGBoost,0.6363636363636364,0.24705882352941178,0.5978835978835979,0.6377828054298642,0.3559322033898305,0.5922716297385402
2,2,XGBoost,0.9117983963344788,0.6666666666666666,0.7527329515877147,0.8932627373456,0.7701983551040155,0.9255853661993261
2,3,XGBoost,0.8676470588235294,0.543778801843318,0.6912928759894459,0.6145815554417705,0.6685552407932012,0.7707088090011536
2,4,XGBoost,0.8719646799116998,0.7655038759689923,0.8229475766567754,0.8872093023255814,0.8152734778121775,0.9037624837822873
2,5,XGBoost,0.84375,0.8475336322869955,0.8625498007968128,0.9438417152868187,0.8456375838926175,0.9446053154519847
2,6,XGBoost,0.8717948717948718,0.7640449438202247,0.8480392156862745,0.9076697606253054,0.8143712574850299,0.9045667556489059
2,7,XGBoost,0.8649979482970865,0.7507122507122507,0.8236806031528444,0.898932259029683,0.803813155386082,0.9041780741700548
2,8,XGBoost,0.8654088050314466,0.7034764826175869,0.795360824742268,0.8817381562780335,0.7760857304004513,0.8903032725301959
2,9,XGBoost,0.8666666666666667,0.7975460122699386,0.8747044917257684,0.9259792354884379,0.8306709265175719,0.9131086756200818
