DrugBank ID,First letter ATC Codes
DB00001,B
DB00002,L
DB00003,R
DB00004,L
DB00005,L
DB00006,B
DB00007,L
DB00008,L
DB00009,B
DB00010,V
DB00011,L
DB00012,B
DB00013,B
DB00014,L
DB00015,B
DB00016,B
DB00017,H
DB00018,No ATC Code
DB00019,L
DB00020,L
DB00022,L
DB00023,L
DB00024,H
DB00025,B
DB00026,L
DB00027,R
DB00028,No ATC Code
DB00029,B
DB00030,A
DB00031,B
DB00032,G
DB00033,No ATC Code
DB00034,L
DB00035,H
DB00036,B
DB00038,L
DB00039,V
DB00040,H
DB00041,L
DB00042,M
DB00043,R
DB00044,G
DB00045,No ATC Code
DB00046,A
DB00047,A
DB00048,D
DB00049,V
DB00050,H
DB00051,L
DB00052,H
DB00053,A
DB00054,B
DB00055,B
DB00056,L
DB00057,V
DB00058,B
DB00059,L
DB00060,L
DB00061,L
DB00062,B
DB00063,B
DB00065,L
DB00066,G
DB00067,No ATC Code
DB00068,L
DB00069,L
DB00070,No ATC Code
DB00071,A
DB00072,L
DB00073,L
DB00074,L
DB00075,L
DB00076,V
DB00078,V
DB00080,J
DB00081,V
DB00082,H
DB00083,M
DB00085,A
DB00086,B
DB00087,L
DB00088,A
DB00089,V
DB00090,A
DB00091,L
DB00092,L
DB00093,No ATC Code
DB00094,G
DB00095,L
DB00097,G
DB00098,L
DB00099,L
DB00100,No ATC Code
DB00102,D
DB00103,A
DB00104,H
DB00105,L
DB00106,L
DB00107,G
DB00108,L
DB00109,J
DB00110,J
DB00111,L
DB00112,L
DB00113,V
DB00114,A
DB00115,B
DB00116,No ATC Code
DB00117,No ATC Code
DB00118,A
DB00119,No ATC Code
DB00120,No ATC Code
DB00121,A
DB00122,No ATC Code
DB00123,V
DB00125,V
DB00126,G
DB00127,No ATC Code
DB00128,No ATC Code
DB00129,A
DB00130,A
DB00131,No ATC Code
DB00132,No ATC Code
DB00133,No ATC Code
DB00134,V
DB00135,No ATC Code
DB00136,D
DB00137,No ATC Code
DB00138,No ATC Code
DB00139,No ATC Code
DB00140,A
DB00141,No ATC Code
DB00142,A
DB00143,V
DB00144,No ATC Code
DB00145,B
DB00146,A
DB00147,No ATC Code
DB00148,No ATC Code
DB00149,No ATC Code
DB00150,N
DB00151,No ATC Code
DB00152,A
DB00153,A
DB00154,No ATC Code
DB00155,No ATC Code
DB00156,No ATC Code
DB00157,No ATC Code
DB00158,B
DB00159,No ATC Code
DB00160,No ATC Code
DB00161,No ATC Code
DB00162,S
DB00163,No ATC Code
DB00165,J
DB00166,A
DB00167,No ATC Code
DB00168,No ATC Code
DB00169,M
DB00170,B
DB00171,No ATC Code
DB00172,No ATC Code
DB00173,No ATC Code
DB00174,No ATC Code
DB00175,C
DB00176,N
DB00177,C
DB00178,C
DB00179,L
DB00180,R
DB00181,M
DB00182,N
DB00183,V
DB00184,N
DB00185,N
DB00186,N
DB00187,C
DB00188,L
DB00189,N
DB00190,No ATC Code
DB00191,A
DB00192,No ATC Code
DB00193,N
DB00194,J
DB00195,S
DB00196,J
DB00197,A
DB00198,J
DB00199,J
DB00200,B
DB00201,D
DB00202,M
DB00203,G
DB00204,C
DB00205,P
DB00206,C
DB00207,J
DB00208,B
DB00209,A
DB00210,D
DB00211,C
DB00212,C
DB00213,A
DB00214,C
DB00215,N
DB00216,N
DB00217,C
DB00218,S
DB00219,A
DB00220,J
DB00221,R
DB00222,A
DB00223,D
DB00224,J
DB00225,V
DB00226,No ATC Code
DB00227,C
DB00228,N
DB00229,J
DB00230,N
DB00231,N
DB00232,C
DB00233,J
DB00234,N
DB00235,C
DB00236,L
DB00237,N
DB00238,J
DB00239,D
DB00240,D
DB00241,N
DB00242,L
DB00243,C
DB00244,A
DB00245,N
DB00246,N
DB00247,N
DB00248,N
DB00249,D
DB00250,J
DB00251,G
DB00252,N
DB00253,S
DB00254,J
DB00255,L
DB00256,J
DB00257,D
DB00258,V
DB00259,G
DB00260,J
DB00261,L
DB00262,L
DB00263,J
DB00264,C
DB00265,No ATC Code
DB00266,B
DB00267,S
DB00268,N
DB00269,G
DB00270,C
DB00271,V
DB00272,V
DB00273,A
DB00274,J
DB00275,C
DB00276,L
DB00277,R
DB00278,B
DB00279,H
DB00280,C
DB00281,S
DB00282,M
DB00283,D
DB00284,A
DB00285,N
DB00286,G
DB00287,S
DB00288,D
DB00289,N
DB00290,L
DB00291,L
DB00292,N
DB00293,L
DB00294,G
DB00295,A
DB00296,N
DB00297,N
DB00298,S
DB00299,D
DB00300,J
DB00301,J
DB00302,B
DB00303,J
DB00304,G
DB00305,L
DB00306,N
DB00307,L
DB00308,C
DB00309,L
DB00310,G
DB00311,No ATC Code
DB00312,N
DB00313,N
DB00314,J
DB00315,N
DB00316,N
DB00317,L
DB00318,N
DB00319,J
DB00320,N
DB00321,N
DB00322,L
DB00323,N
DB00324,D
DB00325,C
DB00326,A
DB00327,N
DB00328,S
DB00330,J
DB00331,A
DB00332,R
DB00333,N
DB00334,N
DB00335,C
DB00336,B
DB00337,D
DB00338,A
DB00339,J
DB00340,N
DB00341,S
DB00342,R
DB00343,C
DB00344,N
DB00345,V
DB00346,G
